"ui_resources";"1.0";;;;;;;;;;;;;;;;;
# version : 6.0.0
"object_id";"text:is_adult";"text[eng]:label";"text[fre]:label";"text[dut]:label";"text[ger-CHE]:label";"text[fre-CHE]:label";"text[ita-CHE]:label";"text[ger-DEU]:label";"text[tur]:label";"text[eng-IRL]:label";"text[ger.AUT]:label";"text[nno]:label";"text[swe]:label";"text[hun]:label";"text[pol]:label";"text[cze]:label";"text[slo]:label";"text[rum]:label"
"programme_genre/DVB/0.13";;"CRIME";;"MISDAAD";"KRIMI";"POLICIER";"POLIZIESCO";"KRIMI";"SUÇ";"CRIME";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/0.14";;"DRAMA";"DRAME";"DRAMA";"DRAMA";"DRAME";"DRAMMATICO";"DRAMA";"DRAM";"DRAMA";"DRAMA";"drama";"drama";"Dráma";"dramat";"Drama";"Dráma";"drama"
"programme_genre/DVB/0.15";"X";"ADULT";"EROTIQUE";"EROTIEK";"EROTIK";"EROTIQUE";"EROTICO";"EROTIK";"EROTİK";"ADULT";"EROTIK";"erotikk";"erotik";"Erotika";"erotyka";"Erotika";"Erotika";"adult"
"programme_genre/DVB/1.0";;"MOVIE";"FILM";"SPEELFILM";"SPIELFILM";"FILM";"FILM";"SPIELFILM";"FİLM";"MOVIE";"SPIELFILM";"film";"film";"Játékfilm";"film";"Film";"Film";"film"
"programme_genre/DVB/1.1";;"THRILLER";"THRILLER";"THRILLER";"THRILLER";"THRILLER";"THRILLER";"THRILLER";"POLİSİYE";"THRILLER";"THRILLER";"thriller";"thriller";"Thriller";"thriller";"Thriller";"Thriller";"thriller"
"programme_genre/DVB/1.2";;"ADVENTURE";"FILM D'AVENTURE";"AVONTUUR";"ABENTEUER";"FILM D'AVENTURE";"AVVENTUROSO";"ABENTEUER";"MACERA";"ADVENTURE";"ABENTEUER";"opplevelser";"äventyr";"Kalandfilm";"przygoda";"Dobrodružný film";"Dobrodružný film";"aventura"
"programme_genre/DVB/1.3";;"SCI-FI";"SCI-FI";"SCI-FI";"SCI-FI";"SCI-FI";"FANTASCIENZA";"SCI-FI";"BİLİM KURGU";"SCI-FI";"SCI-FI";"sci-fi";"science fiction";"Sci-fi";"sci-fi/horror";"Sci-fi/Horor";"Sci-fi/Horor";"sci-fi"
"programme_genre/DVB/1.4";;"COMEDY";"COMÉDIE";"KOMEDIE";"KOMÖDIE";"COMÉDIE";"COMMEDIA";"KOMÖDIE";"KOMEDİ";"COMEDY";"KOMÖDIE";"komedier";"komedi";"Vígjáték";"komedia";"Komedie";"Komédia";"comedie"
"programme_genre/DVB/1.5";;"MELODRAMA";"MÉLODRAME";"MELODRAMA";"MELODRAM";"MÉLODRAME";"MELODRAMMATICO";"MELODRAM";"MELODRAM";"MELODRAMA";"HEIMATFILM";"såpeopera";"såpopera";"Melodráma";"melodramat";"Melodrama";"Melodráma";"melodrama"
"programme_genre/DVB/1.6";;"ROMANCE";"FILM D'AMOUR";"ROMANTIEK";"ROMANCE";"FILM D'AMOUR";"SENTIMENTALE";"ROMANCE";"ROMANTİK";"ROMANCE";"ROMANCE";"romantikk";"romantik";"Romantikus film";"obyczajowy";"Romantika";"Romantika";"romance"
